Lan Chay,Time,Co Sac,Khong Sac
"[35.726581112369296, 22.84480373336281, 22.747155008835207, 31.778789817033623, 4.108278363943043, 3.5751807020661186, 0.7796067536597134, 0.21505767364943287, 0.5588382122044577, 21.912410360193107]","[[2, 5, 0, 8, 7, 6, 1, 3, 4], [0, 6, 7, 4, 3, 8, 1, 2, 5], [3, 0, 1, 6, 7, 5, 8, 2, 4], [7, 2, 1, 8, 3, 0, 6, 4, 5], [5, 0, 3, 2, 7, 8, 4, 1, 6], [2, 8, 1, 4, 0, 3, 7, 6, 5], [8, 5, 1, 0, 7, 3, 4, 6, 2], [4, 6, 7, 8, 5, 3, 2, 1, 0], [2, 1, 3, 8, 7, 6, 0, 4, 5], [8, 0, 6, 5, 1, 7, 4, 2, 3]]","[[1227.4236935837741, 713.0003644206841, 1.3246768921759646, 419.70276128085015, 273.08162657980023, 585.6753443846538, 856.9790243863928, 2972.5936405776647, 78.24301761593745], [5744.919927919568, 439.3280136486452, 0, 285.1809730858415, 192.1415077164375, 727.8822658563289, 1199.4961902784978, 1659.0431820083506, 0], [6217.014919271733, 308.90873057002227, 261.3728335405401, 315.6868914895318, 1.1486452808044558, 779.2946973118892, 375.1003221685747, 413.97292324721593, 0], [0, 60.78531478400619, 44.659165330585914, 10.54717551702279, 8.025735610536135, 0, 0, 5683.799017398887, 0], [963.7165303551491, 0, 0, 13.695615418433782, 0, 971.0770717630608, 0, 0, 0], [1993.2183189838138, 209.45866419820925, 0, 0, 0, 0, 333.0466406707488, 768.0155837959161, 0], [0, 0, 0, 0, 0, 0, 0, 0, 10.525249130203544], [0, 0, 0, 0, 0, 0, 0, 0, 15.420684658279203], [0, 0, 0, 0, 0, 0, 0, 0, 9.187855474117073], [0, 0, 0, 0, 0, 0, 0, 0, 3.2614699039296293]]",48194.154784857514
,,nan,
